CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: September - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-87.5     255.5     12.69
-87.5     256.5     12.69
-87.5     257.5     12.69
-87.5     258.5     12.69
-87.5     259.5     12.69
-87.5     260.5     12.7
-87.5     261.5     12.7
-87.5     262.5     12.7
-87.5     263.5     12.7
-87.5     264.5     12.7
-87.5     265.5     12.7
-87.5     266.5     12.7
-87.5     267.5     12.7
-87.5     268.5     12.7
-87.5     269.5     12.7
-87.5     270.5     12.7
-87.5     271.5     12.7
-87.5     272.5     12.7
-87.5     273.5     12.7
-87.5     274.5     12.7
-87.5     275.5     12.7
-87.5     276.5     12.7
-87.5     277.5     12.7
-87.5     278.5     12.7
-87.5     279.5     12.7
